,0
"Михаил БулгаковМастер и МаргаритаМосква 1984ЧАСТЬ ПЕРВАЯ...Так кто ж ты, наконец",80
" Я  часть той силы,что вечно хочетзла и вечно совершает благо",61
Гете,4
«Фауст,6
"Глава 1Никогда не разговаривайте с неизвестнымиОднажды весною, в час небывало жаркого заката, в Москве, на Патриарших прудах, появились два гражданина",150
"Первый из них, одетый в летнюю серенькую пару, был маленького роста, упитан, лыс, свою приличную шляпу пирожком нес в руке, а на хорошо выбритом лице его помещались сверхъестественных размеров очки в черной роговой оправе",221
"Второй  плечистый, рыжеватый, вихрастый молодой человек в заломленной на затылок клетчатой кепке  был в ковбойке, жеваных белых брюках и в черных тапочках",154
"Первый был не кто иной, как Михаил Александрович Берлиоз, председатель правления одной из крупнейших московских литературных ассоциаций, сокращенно именуемой МАССОЛИТ, и редактор толстого художественного журнала, а молодой спутник его  поэт Иван Николаевич Понырев, пишущий под псевдонимом Бездомный",299
"Попав в тень чуть зеленеющих лип, писатели первым долгом бросились к пестро раскрашенной будочке с надписью «Пиво и воды»",121
"Да, следует отметить первую странность этого страшного майского вечера",70
"Не только у будочки, но и во всей аллее, параллельной Малой Бронной улице, не оказалось ни одного человека",106
"В тот час, когда уж, кажется, и сил не было дышать, когда солнце, раскалив Москву, в сухом тумане валилось куда-то за Садовое кольцо,  никто не пришел под липы, никто не сел на скамейку, пуста была аллея",203
" Дайте нарзану,  попросил Берлиоз",33
" Нарзану нету,  ответила женщина в будочке и почему-то обиделась",64
 Пиво есть,10
 сиплым голосом осведомился Бездомный,37
" Пиво привезут к вечеру,  ответила женщина",42
 А что есть,11
 спросил Берлиоз,16
" Абрикосовая, только теплая,  сказала женщина",45
" Ну, давайте, давайте, ",23
.,1
"Абрикосовая дала обильную желтую пену, и в воздухе запахло парикмахерской",73
"Напившись, литераторы немедленно начали икать, расплатились и уселись на скамейке лицом к пруду и спиной к Бронной",114
"Тут приключилась вторая странность, касающаяся одного Берлиоза",62
"Он внезапно перестал икать, сердце его стукнуло и на мгновенье куда-то провалилось, потом вернулось, но с тупой иглой, засевшей в нем",133
"Кроме того, Берлиоза охватил необоснованный, но столь сильный страх, что ему захотелось тотчас же бежать с Патриарших без оглядки",129
"Берлиоз тоскливо оглянулся, не понимая, что его напугало",56
"Он побледнел, вытер лоб платком, подумал: «Что это со мной",58
Этого никогда не ,17
.,1
сердце ,7
.,1
